Geo Point;Geo Shape;ID;Code TAF/TAP;Nom symbolique;Abréviation LST FR courte;Abréviation LST NL courte;Abréviation LST FR complète;Abréviation LST NL complète;Nom FR court;Nom NL court;Nom FR moyen;Nom NL moyen;Nom FR complet;Nom NL complet;Classification en néerlandais;Classification en anglais;Classification en anglais
50.9369047977,5.30975044435;"{""type"": ""Point"", ""coordinates"": [5.309750444353814, 50.93690479771393]}";340;BE00340;FHSL;HASSELT-LCI;HASSELT-LCI;HASSELT-L.C.I.;HASSELT-L.C.I.;Hasselt-LCI;Hasselt-LCI;Hasselt-L.C.I.;Hasselt-L.C.I.;Hasselt-L.C.I.;Hasselt-L.C.I.;Dienstinstallatie;Installation de service;Installation de service
49.69105337,5.76748390909;"{""type"": ""Point"", ""coordinates"": [5.767483909086654, 49.69105337000152]}";1108;BE01108;MKMR;STOCKEM-RACC;STOCKEM-RACC;STOCKEM-RACCORDEMENTS;STOCKEM-RACCORDEMENTS;Stockem-Racc;Stockem-Racc;Stockem-Racc.;Stockem-Racc.;Stockem-Raccordements;Stockem-Raccordements;Station;Gare;Gare
51.0236380002,3.7609429957;"{""type"": ""Point"", ""coordinates"": [3.760942995699307, 51.02363800017434]}";1691;BE01691;FKRW;MERELBEKE-TW;MERELBEKE-TW;MERELBEKE-T.W.;MERELBEKE-T.W.;Merelbeke-TW;Merelbeke-TW;Merelbeke-T.W.;Merelbeke-T.W.;Merelbeke-T.W.;Merelbeke-T.W.;Dienstinstallatie;Installation de service;Installation de service
50.9233634948,5.4972830377;"{""type"": ""Point"", ""coordinates"": [5.497283037697586, 50.923363494844544]}";443;BE00443;FKGLF;GENK-ZD-FORD;GENK-ZD-FORD;GENK-ZUID-L.O.-FORD;GENK-ZUID-L.O.-FORD;Genk-Zd-Ford;Genk-Zd-Ford;Genk-Zuid-L.O.-Ford;Genk-Zuid-L.O.-Ford;Genk-Zuid-L.O.-Ford;Genk-Zuid-L.O.-Ford;Station;Gare;Gare
51.3093218563,4.28929299579;"{""type"": ""Point"", ""coordinates"": [4.289292995788471, 51.309321856281315]}";1757;BE01757;VMNST;V.MONSANTO;V.MONSANTO;VERB.MONSANTO;VERB.MONSANTO;V.Monsanto;V.Monsanto;Verb.Monsanto;Verb.Monsanto;Verb.Monsanto;Verb.Monsanto;Verbinding;Raccordement;Raccordement
50.8764450859,4.71851687981;"{""type"": ""Point"", ""coordinates"": [4.718516879806161, 50.87644508589221]}";109;BE00109;FLVQ;LEUVEN-Q;LEUVEN-Q;LEUVEN-BUNDEL Q;LEUVEN-BUNDEL Q;Leuven-Q;Leuven-Q;Leuven-Bundel Q;Leuven-Bundel Q;Leuven-Bundel Q;Leuven-Bundel Q;Station;Gare;Gare
51.3066840001,4.29391599554;"{""type"": ""Point"", ""coordinates"": [4.293915995543153, 51.30668400013954]}";1748;BE01748;VOIL1;V.OILTANK1;V.OILTANK1;VERB.OILTANKING 1;VERB.OILTANKING 1;V.Oiltank1;V.Oiltank1;Verb.Oiltanking 1;Verb.Oiltanking 1;Verb.Oiltanking 1;Verb.Oiltanking 1;Verbinding;Raccordement;Raccordement
51.1905170001,3.2226969959;"{""type"": ""Point"", ""coordinates"": [3.222696995898131, 51.19051700005989]}";213;BE00213;FRV;BRUGGE-U/V;BRUGGE-U/V;BRUGGE-BUNDELS U/V;BRUGGE-BUNDELS U/V;Brugge-U/V;Brugge-U/V;Brugge-Bundels U/V;Brugge-Bundels U/V;Brugge-Bundels U/V;Brugge-Bundels U/V;Station;Gare;Gare
50.6997853031,5.55849107818;"{""type"": ""Point"", ""coordinates"": [5.558491078181467, 50.69978530312305]}";734;BE00734;LSLF;LIERS-FAISC;LIERS-FAISC;LIERS-FAISCEAU;LIERS-FAISCEAU;Liers-Faisc;Liers-Faisc;Liers-Faisceau;Liers-Faisceau;Liers-Faisceau;Liers-Faisceau;Station;Gare;Gare
51.3196650001,4.28703699555;"{""type"": ""Point"", ""coordinates"": [4.287036995546752, 51.31966500013441]}";1750;BE01750;VSOLV;V.SOLVAY;V.SOLVAY;VERB.SOLVAY;VERB.SOLVAY;V.Solvay;V.Solvay;Verb.Solvay;Verb.Solvay;Verb.Solvay;Verb.Solvay;Verbinding;Raccordement;Raccordement
51.2178118889,2.93927370297;"{""type"": ""Point"", ""coordinates"": [2.939273702973388, 51.21781188887561]}";948;BE00948;FSDB;OOSTENDE-B;OOSTENDE-B;OOSTENDE-BUNDEL B;OOSTENDE-BUNDEL B;Oostende-B;Oostende-B;Oostende-Bundel B;Oostende-Bundel B;Oostende-Bundel B;Oostende-Bundel B;Station;Gare;Gare
51.2926240002,4.39164299551;"{""type"": ""Point"", ""coordinates"": [4.391642995508056, 51.29262400015534]}";48;BE00048;FNDB3;ANTW-ND-B3;ANTW-ND-B3;ANTWERPEN-NOORD-BUNDEL B3;ANTWERPEN-NOORD-BUNDEL B3;Antw-Nd-B3;Antw-Nd-B3;Antw-Nd-Bundel B3;Antw-Nd-Bundel B3;Antwerpen-Noord-Bundel B3;Antwerpen-Noord-Bundel B3;Station;Gare;Gare
51.3355050001,4.28347299555;"{""type"": ""Point"", ""coordinates"": [4.283472995549471, 51.33550500012872]}";1751;BE01751;VIBR;V.IBR;V.IBR;VERB.IBR;VERB.IBR;V.IBR;V.IBR;Verb.IBR;Verb.IBR;Verb.IBR;Verb.IBR;Verbinding;Raccordement;Raccordement
51.2420348362,4.39875522475;"{""type"": ""Point"", ""coordinates"": [4.398755224745127, 51.24203483620537]}";1249;BE01249;AMZD;AMERIKA-ZUID;AMERIKA-ZUID;ANTWERPEN-D.S.-AMERIKA-ZUID;ANTWERPEN-D.S.-AMERIKA-ZUID;Amerika-Zuid;Amerika-Zuid;Antw-DS-Amerika-Zuid;Antw-DS-Amerika-Zuid;Antwerpen-D.S.-Amerika-Zuid;Antwerpen-D.S.-Amerika-Zuid;Station;Gare;Gare
50.8770000003,4.71868099535;"{""type"": ""Point"", ""coordinates"": [4.718680995354921, 50.877000000334135]}";716;BE00716;FLVP;LEUVEN-P;LEUVEN-P;LEUVEN-BUNDEL P;LEUVEN-BUNDEL P;Leuven-P;Leuven-P;Leuven-Bundel P;Leuven-Bundel P;Leuven-Bundel P;Leuven-Bundel P;Station;Gare;Gare
51.3166130001,4.28757599555;"{""type"": ""Point"", ""coordinates"": [4.287575995546278, 51.316613000135504]}";1762;BE01762;VVTA;V.VESTA TERM;V.VESTA TERM;VERB.VESTA TERMINAL ANTWERP;VERB.VESTA TERMINAL ANTWERP;V.Vesta Term;V.Vesta Term;Verb.Vesta Terminal;Verb.Vesta Terminal;Verb.Vesta Terminal Antwerp;Verb.Vesta Terminal Antwerp;Verbinding;Raccordement;Raccordement
51.2912695284,4.2460169836;"{""type"": ""Point"", ""coordinates"": [4.246016983595491, 51.29126952842564]}";1824;BE01824;KROMM;B.KROMMENHK;B.KROMMENHK;ANTWERPEN-W.H.-B.KROMMENHOEK;ANTWERPEN-W.H.-B.KROMMENHOEK;B.Krommenhk;B.Krommenhk;Antw-WH-B.Krommenhk;Antw-WH-B.Krommenhk;Antwerpen-W.H.-B.Krommenhoek;Antwerpen-W.H.-B.Krommenhoek;Station;Gare;Gare
51.0969235228,3.75068089363;"{""type"": ""Point"", ""coordinates"": [3.750680893633614, 51.096923522789105]}";2016;BE02016;SIFFR;SIFFERDOK-RO;SIFFERDOK-RO;GENT-ZEEHAVEN-SIFFERDOK R.O.;GENT-ZEEHAVEN-SIFFERDOK R.O.;Sifferdok-RO;Sifferdok-RO;Gent-Zeeh-Sifferd RO;Gent-Zeeh-Sifferd RO;Gent-Zeehaven-Sifferdok R.O.;Gent-Zeehaven-Sifferdok R.O.;Station;Gare;Gare
50.8281201083,4.32197778813;"{""type"": ""Point"", ""coordinates"": [4.321977788125252, 50.82812010834973]}";225;BE00225;FBKIF;BRUXELL-PI-F;BRUSSEL-KE-F;BRUXELLES-PETITE-ILE-FAISC.F;BRUSSEL-KLEIN-EILAND-BUNDEL F;Bruxell-PI-F;Brussel-KE-F;Bruxelles-PI-Faisc.F;Brussel-KE-Bundel F;Bruxelles-Petite-Ile-Faisc.F;Brussel-Klein-Eiland-Bundel F;Station;Gare;Gare
50.6056614919,5.55079956234;"{""type"": ""Point"", ""coordinates"": [5.550799562344594, 50.60566149188603]}";1024;BE01024;RENO1;RENORY 1;RENORY 1;RENORY 1;RENORY 1;Renory 1;Renory 1;Renory 1;Renory 1;Renory 1;Renory 1;Verbinding;Raccordement;Raccordement
50.4195560005,4.53082699538;"{""type"": ""Point"", ""coordinates"": [4.530826995375496, 50.419556000469875]}";264;BE00264;FCLF;CHATELET-F;CHATELET-F;CHATELET-FORMATION;CHATELET-FORMATION;Châtelet-F;Châtelet-F;Châtelet-Formation;Châtelet-Formation;Châtelet-Formation;Châtelet-Formation;Station;Gare;Gare
51.2884594591,4.38944004703;"{""type"": ""Point"", ""coordinates"": [4.389440047026178, 51.28845945910252]}";69;BE00069;FNDD;ANTW-ND-D;ANTW-ND-D;ANTWERPEN-NOORD-BUNDEL D;ANTWERPEN-NOORD-BUNDEL D;Antw-Nd-D;Antw-Nd-D;Antw-Nd-Bundel D;Antw-Nd-Bundel D;Antwerpen-Noord-Bundel D;Antwerpen-Noord-Bundel D;Station;Gare;Gare
51.2749780001,4.20436999557;"{""type"": ""Point"", ""coordinates"": [4.20436999557105, 51.27497800014002]}";1479;BE01479;FNWHV;B.VERREBROEK;B.VERREBROEK;ANTWERPEN-W.H.-B.VERREBROEK;ANTWERPEN-W.H.-B.VERREBROEK;B.Verrebroek;B.Verrebroek;Antw-WH-B.Verrebroek;Antw-WH-B.Verrebroek;Antwerpen-W.H.-B.Verrebroek;Antwerpen-W.H.-B.Verrebroek;Station;Gare;Gare
51.2900635488,4.40380449607;"{""type"": ""Point"", ""coordinates"": [4.403804496069848, 51.290063548798365]}";1997;BE01997;DSPA1;ANTW-N-DSPA1;ANTW-N-DSPA1;ANTWERPEN-NOORD-DOODSPOREN A1;ANTWERPEN-NOORD-DOODSPOREN A1;Antw-N-DspA1;Antw-N-DspA1;Antw-Nd-DSP A1;Antw-Nd-DSP A1;Antwerpen-Noord-Doodsporen A1;Antwerpen-Noord-Doodsporen A1;Station;Gare;Gare
